industry,date,layoff_events,initial_claims
Agricultural Services,2021-01-01,0.0,0.0
Mining,2021-01-01,0.0,0.0
Construction,2021-01-01,10.0,628.0
Manufacturing,2021-01-01,23.0,5526.0
Wholesale Trade,2021-01-01,5.0,582.0
Retail Trade,2021-01-01,10.0,2324.0
"Transportation, Warehousing, Utilities",2021-01-01,10.0,1895.0
Financial Activities,2021-01-01,7.0,824.0
Professional & Business Services,2021-01-01,16.0,1807.0
Educational and Health Services,2021-01-01,18.0,2188.0
Leisure and Hospitality,2021-01-01,6.0,680.0
Agricultural Services,2020-12-01,0.0,0.0
Mining,2020-12-01,3.0,223.0
Construction,2020-12-01,31.0,2597.0
Manufacturing,2020-12-01,25.0,2005.0
Wholesale Trade,2020-12-01,10.0,676.0
Retail Trade,2020-12-01,7.0,541.0
"Transportation, Warehousing, Utilities",2020-12-01,12.0,2140.0
Financial Activities,2020-12-01,15.0,1485.0
Professional & Business Services,2020-12-01,44.0,3497.0
Educational and Health Services,2020-12-01,27.0,2385.0
Leisure and Hospitality,2020-12-01,12.0,892.0
Agricultural Services,2020-11-01,0.0,0.0
Mining,2020-11-01,0.0,0.0
Construction,2020-11-01,11.0,861.0
Manufacturing,2020-11-01,23.0,1748.0
Wholesale Trade,2020-11-01,4.0,254.0
Retail Trade,2020-11-01,15.0,1489.0
"Transportation, Warehousing, Utilities",2020-11-01,11.0,959.0
Information,2020-11-01,4.0,414.0
Financial Activities,2020-11-01,10.0,758.0
Professional & Business Services,2020-11-01,31.0,2339.0
Educational and Health Services,2020-11-01,26.0,2043.0
Leisure and Hospitality,2020-11-01,39.0,3553.0
Other Services,2020-11-01,4.0,237.0
Agricultural Services,2020-10-01,0.0,0.0
Construction,2020-10-01,8.0,628.0
Manufacturing,2020-10-01,30.0,5920.0
Wholesale Trade,2020-10-01,8.0,949.0
Retail Trade,2020-10-01,24.0,2889.0
"Transportation, Warehousing, Utilities",2020-10-01,15.0,2730.0
Information,2020-10-01,7.0,549.0
Financial Activities,2020-10-01,25.0,2703.0
Professional & Business Services,2020-10-01,36.0,3740.0
Educational and Health Services,2020-10-01,44.0,5106.0
Leisure and Hospitality,2020-10-01,20.0,2026.0
