date,weekly_claims,weekly_claims_prev_wk_n,weekly_claims_prev_wk_pct,weekly_claims_prev_yr,weekly_claims_prev_yr_n,weekly_claims_prev_yr_pct
2021-04-26,15134,-2007.0,-12,74476,-59342.0,-80
2021-04-19,17141,1893.0,12,101322,-84181.0,-83
2021-04-12,15248,-3738.0,-20,118996,-103748.0,-87
2021-04-05,18986,2804.0,17,140787,-121801.0,-87
2021-03-29,16182,1993.0,14,202157,-185975.0,-92
2021-03-22,14189,-1406.0,-9,185575,-171386.0,-92
2021-03-15,15595,-55580.0,-78,126716,-111121.0,-88
2021-03-08,71175,13692.0,24,11305,59870.0,530
2021-03-01,57483,-10628.0,-16,8727,48756.0,559
2021-02-22,68111,,0,8980,,658
2021-02-15,68383,,10,11812,,479
2021-02-08,62369,,82,8045,,675
2021-02-01,34259,,-14,9794,,250
2021-01-25,40008,,-58,9762,,310
2021-01-18,95481,,0,9762,,878
2021-01-11,95472,,1,14807,,545
2021-01-04,94944,,109,12703,,647
2020-12-28,45387,,-59,11779,,285
2020-12-21,110486,,-24,,,
2020-12-14,145054,,5,16669,,770
2020-12-07,138359,,29,15076,,818
2020-11-30,107616,,45,14798,,627
2020-11-23,74131,,13,10233,,624
2020-11-16,65596,,40,,,
2020-11-09,46800,,-30,13989,,235
2020-11-02,67158,,-9,11015,,510
2020-10-26,73515,,38,10705,,587
2020-10-19,53138,,13,8307,,540
2020-10-12,46948,,-1,7551,,522
2020-10-05,47528,,31,7543,,530
2020-09-28,36267,,23,8465,,328
2020-09-21,29390,,13,6793,,333
2020-09-14,25976,,-5,6538,,297
2020-09-07,27384,,7,6614,,314
2020-08-31,25478,,-3,7180,,255
2020-08-24,26194,,0,11104,,136
2020-08-17,26262,,17,7376,,256
2020-08-10,22406,,-2,6991,,220
2020-08-03,22934,,-9,7209,,218
2020-07-27,25274,,-24,7546,,235
2020-07-20,33230,,-9,10355,,221
2020-07-13,36435,,-5,7986,,356
2020-07-06,38261,,-2,9137,,319
2020-06-29,39015,,-15,9137,,327
2020-06-22,45752,,-1,8038,,469
2020-06-15,46276,,4,8100,,471
2020-06-08,44694,,0,8838,,406
2020-06-01,44606,,-4,10583,,321
2020-05-25,46385,,-20,8551,,442
2020-05-18,58263,,-20,7666,,660
2020-05-11,72780,,0,7382,,886
2020-05-04,72671,,-2,8836,,722
2020-04-27,74476,,-9,,,
2020-04-20,81596,,-21,7310,,1016
2020-04-13,102936,,-27,8141,,1164
2020-04-06,141160,,-30,7728,,1727
2020-03-30,201041,,13,,,
2020-03-23,178421,,56,,,
2020-03-16,114114,,950,7993,,1328
2020-03-09,10870,,,,,
